[6, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 91]
[6, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 77]
[6, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 70]
[6, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 68]
[7, 'down', 'Connection error', None, 0]
[6, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 71]
[6, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 86]
[7, 'down', 'Connection error', None, 0]
[6, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 203]
[6, 'down', 'Connection error', None, 0]
[8, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[9, 'down', 'Connection error', None, 0]
[10, 'up', 'success', '200', 233]
[9, 'down', 'Connection error', None, 0]
[6, 'down', 'Connection error', None, 0]
[7, 'down', 'Connection error', None, 0]
[8, 'down', 'Connection error', None, 0]
[7, 'up', 'success', '200', 25]
[8, 'up', 'success', '200', 25]
[6, 'up', 'success', '200', 26]
[9, 'up', 'success', '200', 25]
[10, 'up', 'success', '200', 174]
[9, 'up', 'success', '200', 21]
[8, 'up', 'success', '200', 23]
[6, 'up', 'success', '200', 24]
[7, 'up', 'success', '200', 24]
[10, 'up', 'success', '200', 62]
[8, 'up', 'success', '200', 23, datetime.datetime(2020, 11, 19, 13, 45, 25, 603084)]
[7, 'up', 'success', '200', 24, datetime.datetime(2020, 11, 19, 13, 45, 25, 603186)]
[9, 'up', 'success', '200', 14, datetime.datetime(2020, 11, 19, 13, 45, 25, 603270)]
[6, 'up', 'success', '200', 24, datetime.datetime(2020, 11, 19, 13, 45, 25, 603338)]
[10, 'up', 'success', '200', 319, datetime.datetime(2020, 11, 19, 13, 45, 25, 908102)]
[8, 'up', 'success', '200', 22, datetime.datetime(2020, 11, 19, 14, 1, 14, 127963)]
[7, 'up', 'success', '200', 24, datetime.datetime(2020, 11, 19, 14, 1, 14, 128842)]
[9, 'up', 'success', '200', 23, datetime.datetime(2020, 11, 19, 14, 1, 14, 128940)]
[10, 'up', 'success', '200', 93, datetime.datetime(2020, 11, 19, 14, 1, 14, 198721)]
[6, 'down', 'Connection error', None, 0, datetime.datetime(2020, 11, 19, 14, 1, 15, 146712)]
[8, 'up', 'success', '200', 12, datetime.datetime(2020, 11, 19, 14, 11, 15, 689329)]
[9, 'up', 'success', '200', '13', '2020-11-19 14:18:59']
[7, 'up', 'success', '200', '14', '2020-11-19 14:18:59']
[8, 'up', 'success', '200', '14', '2020-11-19 14:18:59']
[10, 'up', 'success', '200', '113', '2020-11-19 14:19:00']
[6, 'down', 'Connection error', None, '0', '2020-11-19 14:19:00']
[7, 'up', 'success', '200', '11', '2020-11-19 14:21:43']
[7, 'up', 'success', '200', '28', '2020-11-19 14:22:30']
[8, 'up', 'success', '200', '30', '2020-11-19 14:22:30']
[9, 'up', 'success', '200', '32', '2020-11-19 14:22:30']
[10, 'up', 'success', '200', '84', '2020-11-19 14:22:30']
[6, 'down', 'Connection error', None, '0', '2020-11-19 14:22:31']
[9, 'up', 'success', '200', '14', '2020-11-19 14:24:39']
[7, 'up', 'success', '200', '15', '2020-11-19 14:24:39']
[8, 'up', 'success', '200', '16', '2020-11-19 14:24:39']
[10, 'up', 'success', '200', '1016', '2020-11-19 14:24:40']
[6, 'down', 'Connection error', '0', '0', '2020-11-19 14:24:40']
[7, 'up', 'success', '200', '24', '2020-11-19 14:26:46']
[9, 'up', 'success', '200', '24', '2020-11-19 14:26:46']
[8, 'up', 'success', '200', '24', '2020-11-19 14:26:46']
[10, 'up', 'success', '200', '93', '2020-11-19 14:26:46']
[6, 'down', 'Connection error', '0', '0', '2020-11-19 14:26:47']
[7, 'up', 'success', '200', '12', '2020-11-19 14:32:31']
[9, 'up', 'success', '200', '13', '2020-11-19 14:32:31']
[8, 'up', 'success', '200', '15', '2020-11-19 14:32:31']
[10, 'up', 'success', '200', '80', '2020-11-19 14:32:31']
[6, 'down', 'Connection error', '0', '0', '2020-11-19 14:32:32']
[7, 'up', 'success', '200', '24', '2020-11-19 14:33:13']
[9, 'up', 'success', '200', '24', '2020-11-19 14:33:13']
[8, 'up', 'success', '200', '24', '2020-11-19 14:33:13']
[10, 'up', 'success', '200', '262', '2020-11-19 14:33:13']
[6, 'down', 'Connection error', '0', '0', '2020-11-19 14:33:14']
[7, 'up', 'success', '200', '13', '2020-11-19 14:49:14']
[9, 'up', 'success', '200', '13', '2020-11-19 14:49:14']
[8, 'up', 'success', '200', '13', '2020-11-19 14:49:14']
[10, 'up', 'success', '200', '60', '2020-11-19 14:49:14']
[6, 'down', 'Connection error', '0', '0', '2020-11-19 14:49:15']
[9, 'up', 'success', '200', '21', '2020-11-19 14:49:36']
[7, 'up', 'success', '200', '22', '2020-11-19 14:49:36']
[8, 'up', 'success', '200', '22', '2020-11-19 14:49:36']
[10, 'up', 'success', '200', '63', '2020-11-19 14:49:36']
[6, 'down', 'Connection error', '0', '0', '2020-11-19 14:49:37']
[9, 'up', 'success', '200', '20', '2020-11-19 14:49:47']
